Course Full Name,Course Code,Sustainability,Climate,3-6-9,Enrollment Insights,Links ,Prereqs / Potential Barriers,Notes ,Notes,Demand,,,,,,,,,,,,,,,,,,,,
EOSC 212 Topics in the Earth and Planetary Sciences.,EOSC_V 212,TRUE,TRUE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=EOSC&course=212,,"Cutting edge problems in earth, ocean, atmospheric and planetary sciences. Topics will be introduced through discussions of the current literature.",Second year standing in APSC or SCIE,,,,,,,,,,,,,,,,,,,,,
EOSC 270 Marine Ecosystems,EOSC_V 270,TRUE,TRUE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=EOSC&course=270,,"Introduction to diversity of marine habitats and ecosystems; hydrothermal vent, intertidal, coral reef, estuarine, deep sea, and polar ecosystems; impacts of ecosystem change; evolution of ocean plankton; invasive species; climate change; pollution.","Pre-reqs: One of SCIE 001, CHEM 110, CHEM 111, CHEM 120, CHEM 121, CHEM 141, CHEM 154.",,,,,,,,,,,,,,,,,,,,,
EOSC 310 The Earth and the Solar System,EOSC_V 310,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
EOSC 314 The Ocean Environment,EOSC_V 314,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
EOSC 315 The Ocean Ecosystem,EOSC_V 315,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
EOSC 325 Principles of Physical Hydrogeology,EOSC_V 325,TRUE,TRUE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=EOSC&course=325,,Theories of storage and movement of water within groundwater systems; Groundwater-surface water interaction; Role of groundwater systems in watershed management and regulating the environmental impacts of global change; Groundwater sustainability; Impacts of climate & land use changes on groundwater resources,,,,,,,,,,,,,,,,,,,,,,
EOSC 326 Earth and Life Through Time,EOSC_V 326,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
EOSC 329 Groundwater Hydrology,EOSC_V 329,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
EOSC 340 Global Climate Change,EOSC_V 340,TRUE,TRUE,TRUE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=EOSC&course=340,"Either SCIE 001 OR CHEM 110, 111, 120, 121, 141, 154 AND one of MATH 101, 103, 105, 121 AND one of PHYS 101, 106, 107, 117, 131, 153, 157",Mechanisms and processes of past and future global environmental and climate change.,"Pre-reqs: Either (a) SCIE 001 or (b) one of CHEM 110, CHEM 111, CHEM 120, CHEM 121, CHEM 141, CHEM 154 and one of MATH 101, MATH 103, MATH 105, MATH 121 and one of PHYS 101, PHYS 106, PHYS 107, PHYS 117, PHYS 131, PHYS 153, PHYS 157.",,,,,,,,,,,,,,,,,,,,,
EOSC 372 Introductory Oceanography: Circulation and Plankton,EOSC_V 372,TRUE,TRUE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=EOSC&course=372,,Physical and chemical processes and their controls on the distribution of plankton in the ocean.,"Pre-reqs: Either (a) SCIE 001 or (b) one of CHEM 110, CHEM 111, CHEM 120, CHEM 121, CHEM 141, CHEM 154 and one of MATH 101, MATH 103, MATH 105, MATH 121 and one of PHYS 101, PHYS 106, PHYS 107, PHYS 117, PHYS 131, PHYS 153, PHYS 157.",,,,,,,,,,,,,,,,,,,,,
EOSC 373 Introductory Oceanography: Climate and Ecosystems,EOSC_V 373,TRUE,TRUE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=EOSC&course=373,,"Physical, chemical, and biological processes in the ocean and their interaction with climate and marine food-webs.",Pre-req EOSC 372,,,,,,,,,,,,,,,,,,,,,
EOSC 428 Field Techniques in Groundwater Hydrology,EOSC_V 428,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
EOSC 429 Groundwater Contamination,EOSC_V 429,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
EOSC 431 Groundwater Remediation,EOSC_V 431,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
EOSC 442 Climate Measurement and Analysis,EOSC_V 442,TRUE,TRUE,TRUE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=EOSC&course=442,,Local climate time series collection and analysis. Retrieval and analysis of online climate data and model output.,,,,,,,,,,,,,,,,,,,,,,
EOSC 470 Biological Oceanography,EOSC_V 470,TRUE,FALSE,FALSE,,,,"A quantitative examination of processes regulating the abundance, distribution and production of phytoplankton, zooplankton, microbes and fish. Controls of primary and secondary production, ecosystem dynamics and foodwebs.",,,,,,,,,,,,,,,,,,,,,,
EOSC 472 Chemical Oceanography and Marine Geochemistry,EOSC_V 472,TRUE,FALSE,FALSE,,,,"Controls on chemical composition and elemental distributions in seawater and marine sediments (including nutrient elements, dissolved gases, the carbonate system, marine organic matter, and trace metals); solution chemistry of seawater; isotopic tracers of rates and dates in marine systems; geochemical balance in the oceans.",,,,,,,,,,,,,,,,,,,,,,
EOSC 474 Marine Pollution,EOSC_V 474,TRUE,TRUE,TRUE,,,,"An interdisciplinary study of pollution, with examples drawn from coastal and oceanic environments, including areas of local interest. Intended for third and fourth year students with a background in the sciences.",3rd year standing; interdsciplinary,,,,,,,,,,,,,,,,,,,,,
EOSC 475 Marine Microbiology,EOSC_V 475,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
EOSC 478 Introduction to Fisheries Science,EOSC_V 478,TRUE,TRUE,FALSE,,,,"An introduction to the ecology and management of freshwater and marine fisheries. Topics include: population dynamics, species interactions, communities, environmental influences, stock assessment, economics and sociology of fisheries. Laboratories will consist of numerical analyses and simulations.",,,,,,,,,,,,,,,,,,,,,,
EOSC 532 Field Laboratory in Groundwater Hydrology,EOSC_V 532,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
EOSC 533 Advanced Groundwater Hydrology,EOSC_V 533,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
FISH 500 Issues in Fisheries Research: Seminars - Fisheries Management,FISH_V 500,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
FISH 501 Issues in Fisheries Research: Ecosystem Modelling,FISH_V 501,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
FISH 504 Quantitative Analysis of Fisheries I,FISH_V 504,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
FISH 505 Quantitative Analysis of Fisheries II,FISH_V 505,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
FISH 506E Current Topics in Fisheries,FISH_V 506,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
FISH 506F Current Topics in Fisheries,FISH_V 506,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
FISH 506G Current Topics in Fisheries,FISH_V 506,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
FISH 507 Grand Challenges in Ocean Leadership,FISH_V 507,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
FISH 508 Fisheries Economics and Management,FISH_V 508,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
"FISH 520 Fisheries Conservation, Governance, and Evaluation",FISH_V 520,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
ISCI 360 Systems Approaches to Regional Sustainability,ISCI_V 360,TRUE,TRUE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=ISCI&course=360,,"Application of systems science encompassing geological, hydrological, ecological, atmospheric sciences, and energy systems approaches to study regional sustainability.",3rd year standing,,,,,,,,,,,,,,,,,,,,,
ISCI 361 Field Course: Systems Approaches to Regional Sustainability,ISCI_V 361,TRUE,FALSE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=ISCI&course=361,,"Systems science approaches encompassing geological, hydrological, ecological, atmospheric sciences, and energy systems to investigate a selected region of the world. Course location will vary; fee payable prior to field course.",,,,,,,,,,,,,,,,,,,,,,
